"Service Request #","Date Request Opened","Request Status","SLA","Service Group","Agency Responsible","Request Name","Street Address","Latitude","Longitude","Location","TNI Area Description"
"22-00034567","2022 Jul 30 12:12:06 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1700 FOREST PARK DR","38.86559708","-76.85575775","    (38.86559708, -76.85575775)","Forestville"
"22-00031704","2022 Jul 06 09:05:54 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4005 48TH ST",,,,"County Address"
"22-00029721","2022 Jun 18 06:37:07 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9110 8TH ST","38.96818065","-76.85721302","    (38.96818065, -76.85721302)","County Address"
"22-00026180","2022 May 24 07:54:42 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11706 CHANTILLY LN","38.94155304","-76.80222412","    (38.94155304, -76.80222412)","County Address"
"22-00020433","2022 Apr 13 09:30:01 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD GUNPOWDER RD & BAY HILL DR",,,,"County Address"
"22-00017191","2022 Mar 19 07:33:28 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","DYSON RD & BRANDYWINE RD",,,,"County Address"
"22-00015943","2022 Mar 10 12:54:23 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1118 HORIZON VIEW PL","38.67803355","-76.98786122","    (38.67803355, -76.98786122)","County Address"
"22-00015063","2022 Mar 03 03:36:33 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11945 AUTUMNWOOD LN","38.73144731","-77.01232162","    (38.73144731, -77.01232162)","County Address"
"22-00014512","2022 Feb 28 03:31:54 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD SILVER HILL RD & SILVER HILL RD",,,,"County Address"
"22-00014275","2022 Feb 25 03:13:41 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","DUSTY LN & LIVINGSTON RD",,,,"County Address"
"22-00014176","2022 Feb 25 08:52:28 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","3704 CHARLES L ARMENTROUT DR",,,,"County Address"
"22-00014055","2022 Feb 24 11:46:29 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","UNIVERSITY BLVD & RIGGS RD",,,,"County Address"
"22-00013596","2022 Feb 21 03:00:21 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6914 BEACON LIGHT RD","38.95787211","-76.89674471","    (38.95787211, -76.89674471)","Woodlawn - Lanham"
"22-00013595","2022 Feb 21 03:00:19 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6914 BEACON LIGHT RD","38.95787211","-76.89674471","    (38.95787211, -76.89674471)","Woodlawn - Lanham"
"22-00013247","2022 Feb 17 12:17:48 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PEACH ORCHARD WAY & MITCHELLVILLE RD",,,,"County Address"
"22-00013246","2022 Feb 17 12:15:27 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD STAGE RD & DENMAR LN",,,,"County Address"
"22-00013242","2022 Feb 17 11:33:09 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12100 ASBURY DR","38.72629485","-76.99918006","    (38.72629485, -76.99918006)","County Address"
"22-00013122","2022 Feb 16 01:40:55 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MITCHELLVILLE RD & ROBERT CRAIN HWY NW",,,,"County Address"
"22-00012868","2022 Feb 15 10:58:52 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MITCHELLVILLE RD & MOUNT OAK RD",,,,"County Address"
"22-00012629","2022 Feb 12 05:59:23 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","9522 CROOM RD","38.75878096","-76.76014953","    (38.75878096, -76.76014953)","County Address"
"22-00012587","2022 Feb 11 05:27:09 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","9955 ARDWICK ARDMORE RD",,,,"County Address"
"22-00012578","2022 Feb 11 04:55:02 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ROLLING RIDGE DR & ADDISON RD S",,,,"County Address"
"22-00012558","2022 Feb 11 03:56:53 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5507 LIVINGSTON RD","38.81486209","-76.99710663","    (38.81486209, -76.99710663)","County Address"
"22-00012518","2022 Feb 11 02:38:05 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5609 AUTH RD","38.82181831","-76.90961847","    (38.82181831, -76.90961847)","County Address"
"22-00012498","2022 Feb 11 01:59:19 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MOUNT OAK RD & MITCHELLVILLE RD",,,,"County Address"
"22-00012490","2022 Feb 11 01:39:29 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","IVERSON ST & 28TH AVE",,,,"County Address"
"22-00012479","2022 Feb 11 01:28:32 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BERMONDSEY DR & WOODMORE RD",,,,"County Address"
"22-00012422","2022 Feb 11 11:55:34 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10802 MAYFIELD RD","38.7411021","-76.97400084","    (38.7411021, -76.97400084)","County Address"
"22-00012418","2022 Feb 11 11:48:12 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","RITCHIE RD & VINEYARD DR",,,,"County Address"
"22-00012403","2022 Feb 11 11:03:51 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SILVER HILL RD & OLD SILVER HILL RD",,,,"County Address"
"22-00012380","2022 Feb 11 10:18:57 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5425 19TH AVE","38.95383329","-76.97820966","    (38.95383329, -76.97820966)","County Address"
"22-00012374","2022 Feb 11 10:00:17 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","EASTPINE DR & RIVERDALE RD",,,,"County Address"
"22-00012367","2022 Feb 11 09:45:19 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","28TH AVE & SAINT CLAIR DR",,,,"County Address"
"22-00012351","2022 Feb 11 09:08:41 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","28TH AVE & SAINT CLAIR DR",,,,"County Address"
"22-00012349","2022 Feb 11 09:04:35 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","4133 28TH AVE","38.83276184","-76.94659163","    (38.83276184, -76.94659163)","Hillcrest Heights / Marlow Heights"
"22-00012345","2022 Feb 11 08:56:53 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","THRIFT RD & WINDBROOK DR",,,,"County Address"
"22-00012339","2022 Feb 11 08:52:39 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","FORESTVILLE RD & SUITLAND PKY",,,,"County Address"
"22-00012267","2022 Feb 10 07:13:23 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","101 KETTERING DR","38.88926029","-76.80917323","    (38.88926029, -76.80917323)","County Address"
"22-00012266","2022 Feb 10 06:56:04 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5405 GALLATIN ST","38.95022072","-76.92238169","    (38.95022072, -76.92238169)","Bladensburg / East Riverdale"
"22-00012251","2022 Feb 10 06:17:30 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","3800 WARNER AVE","38.93700296","-76.89640149","    (38.93700296, -76.89640149)","County Address"
"22-00012246","2022 Feb 10 06:01:47 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2005 SANSBURY RD","38.8614386","-76.8410117","    (38.8614386, -76.8410117)","County Address"
"22-00012225","2022 Feb 10 04:50:18 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","2707 PINEBROOK RD",,,,"County Address"
"22-00012214","2022 Feb 10 04:25:29 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WOODLAWN BLVD & HARRY S TRUMAN DR",,,,"County Address"
"22-00012200","2022 Feb 10 03:56:55 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BROWN STATION RD & WHITE HOUSE RD",,,,"County Address"
"22-00012194","2022 Feb 10 03:40:46 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","101 HERRINGTON DR","38.89029599","-76.81325374","    (38.89029599, -76.81325374)","County Address"
"22-00012174","2022 Feb 10 02:57:34 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRIGHTSEAT RD & SHERIFF RD",,,,"County Address"
